,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0_raw[165],-0.301,0.119,-0.523,-0.072,0.01,0.003,141.827,478.68,1.023
u0_raw[166],-1.344,0.118,-1.563,-1.117,0.012,0.005,96.821,327.386,1.027
u0_raw[167],1.523,0.129,1.282,1.762,0.013,0.004,100.359,444.709,1.028
u0_raw[168],1.097,0.112,0.877,1.295,0.013,0.004,80.511,287.114,1.032
u0_raw[169],-0.242,0.098,-0.425,-0.063,0.01,0.004,92.351,318.154,1.036
u0_raw[170],0.26,0.097,0.083,0.447,0.011,0.004,76.37,220.807,1.035
u0_raw[171],0.107,0.094,-0.071,0.284,0.011,0.004,72.662,102.16,1.038
u0_raw[172],-0.122,0.102,-0.318,0.067,0.011,0.003,97.096,355.438,1.031
u0_raw[173],0.237,0.096,0.056,0.422,0.011,0.004,73.562,182.158,1.036
u0_raw[174],-1.05,0.118,-1.269,-0.83,0.011,0.004,112.589,407.883,1.026
u0_raw[175],1.372,0.122,1.136,1.587,0.013,0.004,89.764,403.735,1.031
u0_raw[176],-0.702,0.107,-0.906,-0.505,0.011,0.004,101.497,371.843,1.027
u0_raw[177],0.043,0.104,-0.155,0.235,0.012,0.003,75.569,276.953,1.035
u0_raw[178],-0.337,0.194,-0.7,0.025,0.01,0.002,373.254,2261.115,1.008
u0_raw[179],1.492,0.123,1.272,1.73,0.013,0.004,92.3,339.852,1.029
u_slope_raw_gpt2_surprisal[0],-0.484,0.791,-1.932,1.055,0.01,0.009,6924.36,5684.19,1.0
u_slope_raw_gpt2_surprisal[1],-0.876,0.701,-2.176,0.431,0.008,0.008,8078.938,5735.243,1.0
u_slope_raw_gpt2_surprisal[2],-0.205,0.758,-1.577,1.276,0.007,0.009,11275.038,5893.717,1.0
u_slope_raw_gpt2_surprisal[3],0.004,0.871,-1.639,1.628,0.011,0.009,6181.002,5748.311,1.0
u_slope_raw_gpt2_surprisal[4],-0.553,0.84,-2.179,0.963,0.009,0.009,8125.72,6061.751,1.0
u_slope_raw_gpt2_surprisal[5],-0.197,0.817,-1.802,1.262,0.009,0.009,8332.896,6212.184,1.001
u_slope_raw_gpt2_surprisal[6],0.04,0.981,-1.817,1.905,0.011,0.011,8062.166,6028.518,1.0
u_slope_raw_gpt2_surprisal[7],-0.067,0.767,-1.464,1.382,0.009,0.008,7457.278,5579.813,1.001
u_slope_raw_gpt2_surprisal[8],-1.074,0.801,-2.611,0.414,0.01,0.009,6360.236,5130.034,1.001
u_slope_raw_gpt2_surprisal[9],-0.133,0.979,-1.972,1.738,0.011,0.011,8243.056,5962.599,1.0
u_slope_raw_gpt2_surprisal[10],-0.935,0.852,-2.605,0.616,0.01,0.01,7647.495,5756.76,1.0
u_slope_raw_gpt2_surprisal[11],-0.288,0.813,-1.742,1.283,0.008,0.01,9441.175,6003.842,1.001
u_slope_raw_gpt2_surprisal[12],0.529,0.789,-0.994,1.968,0.008,0.009,9361.947,5626.432,1.001
u_slope_raw_gpt2_surprisal[13],-0.131,0.959,-1.949,1.65,0.011,0.011,7879.593,6063.156,1.0
u_slope_raw_gpt2_surprisal[14],0.422,0.819,-1.136,1.927,0.009,0.01,7505.314,5626.025,1.0
u_slope_raw_gpt2_surprisal[15],-0.761,0.863,-2.384,0.86,0.011,0.009,6649.473,6004.212,1.0
