,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0_raw[11],0.608,0.26,0.114,1.072,0.012,0.005,461.802,1290.448,1.004
u0_raw[12],0.295,0.24,-0.162,0.723,0.012,0.005,419.847,1072.418,1.004
u0_raw[13],-0.506,0.254,-0.952,-0.008,0.012,0.006,458.97,911.554,1.006
u0_raw[14],1.288,0.322,0.683,1.886,0.014,0.006,497.025,1140.749,1.007
u0_raw[15],-0.558,0.26,-1.052,-0.086,0.012,0.006,447.332,854.786,1.006
u0_raw[16],1.703,0.374,1.034,2.445,0.016,0.007,524.636,1153.962,1.007
u0_raw[17],-0.926,0.289,-1.459,-0.375,0.013,0.007,484.413,805.531,1.008
u_slope_raw_gpt2_surprisal[0],0.185,0.829,-1.374,1.753,0.01,0.017,6402.712,2702.379,1.001
u_slope_raw_gpt2_surprisal[1],-0.394,0.839,-1.997,1.197,0.01,0.014,7086.013,3247.858,1.001
u_slope_raw_gpt2_surprisal[2],-0.197,0.809,-1.812,1.268,0.01,0.015,6402.155,3109.137,1.0
u_slope_raw_gpt2_surprisal[3],-0.636,0.849,-2.134,1.044,0.011,0.015,5865.298,2811.435,1.001
u_slope_raw_gpt2_surprisal[4],0.545,0.859,-1.069,2.156,0.012,0.017,5359.831,2270.454,1.001
u_slope_raw_gpt2_surprisal[5],-0.338,0.828,-1.915,1.164,0.011,0.016,5508.575,3134.418,1.0
u_slope_raw_gpt2_surprisal[6],1.416,0.962,-0.447,3.225,0.016,0.017,3998.418,2372.885,1.001
u_slope_raw_gpt2_surprisal[7],-0.082,0.841,-1.724,1.411,0.01,0.016,7760.746,2860.692,1.001
u_slope_raw_gpt2_surprisal[8],0.114,0.82,-1.483,1.615,0.009,0.015,8025.431,2676.686,1.0
u_slope_raw_gpt2_surprisal[9],-0.282,0.853,-1.928,1.29,0.01,0.016,7234.688,2720.968,1.002
u_slope_raw_gpt2_surprisal[10],0.339,0.854,-1.339,1.918,0.01,0.019,7334.85,2363.248,1.002
u_slope_raw_gpt2_surprisal[11],0.165,0.871,-1.479,1.759,0.01,0.016,7869.014,2641.441,1.0
u_slope_raw_gpt2_surprisal[12],-0.558,0.839,-2.189,0.933,0.011,0.015,6266.9,2800.643,1.002
u_slope_raw_gpt2_surprisal[13],-0.228,0.861,-1.855,1.458,0.01,0.016,7840.69,2824.948,1.0
u_slope_raw_gpt2_surprisal[14],-0.129,0.804,-1.606,1.422,0.009,0.016,7611.923,2948.102,1.0
u_slope_raw_gpt2_surprisal[15],0.07,0.849,-1.561,1.647,0.01,0.017,7250.048,2752.998,1.0
u_slope_raw_gpt2_surprisal[16],-0.449,0.812,-1.981,1.091,0.01,0.015,6462.349,2920.486,1.002
u_slope_raw_gpt2_surprisal[17],0.35,0.899,-1.347,2.056,0.01,0.019,8672.469,2566.521,1.002
u_slope_raw_integration_cost[0],0.263,0.935,-1.569,1.885,0.011,0.016,7200.425,2913.891,1.001
u_slope_raw_integration_cost[1],-0.301,0.967,-2.038,1.606,0.01,0.018,8783.295,2800.202,1.001
u_slope_raw_integration_cost[2],0.04,0.924,-1.777,1.652,0.011,0.017,7291.182,2877.739,1.001
u_slope_raw_integration_cost[3],0.053,0.941,-1.648,1.863,0.01,0.018,9262.642,2866.878,1.006
